run_id,topo_type,num_nodes,packet_loss_prob,protocol,requests_sent,requests_succeeded,requests_failed,no_route,success_rate,avg_hops,avg_link_fidelity,avg_decoherence_factor,avg_e2e_fidelity,min_e2e_fidelity,max_e2e_fidelity,avg_total_delay_ms,recovery_paths_used,avg_recovery_per_success
27,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.600000,0.905591,0.832053,0.757787,0.503498,0.977734,51.867786,0,0.000000
27,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.600000,0.901568,0.822408,0.746601,0.354695,0.977734,55.032162,0,0.000000
28,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.666667,0.933230,0.843397,0.788014,0.444590,0.989247,42.220821,0,0.000000
28,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.700000,0.936313,0.837523,0.785496,0.444590,0.989247,42.497668,0,0.000000
29,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.500000,0.936929,0.864874,0.811484,0.323760,0.991170,49.899052,0,0.000000
29,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.500000,0.932562,0.857661,0.802386,0.245170,0.991170,52.469781,0,0.000000
30,ScaleFree,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.433333,0.900098,0.901363,0.813877,0.509950,0.990784,48.044481,0,0.000000
30,ScaleFree,8,0.000000,QCAST,30,30,0,0,100.000000,1.433333,0.900098,0.901363,0.813877,0.509950,0.990784,48.044481,0,0.000000
1,ScaleFree,8,0.050000,Dijkstra,30,30,0,0,100.000000,1.633333,0.873056,0.835118,0.731081,0.494218,0.932125,52.869805,0,0.000000
1,ScaleFree,8,0.050000,QCAST,30,30,0,0,100.000000,1.633333,0.855489,0.849025,0.729509,0.465197,0.932125,50.711934,0,0.000000
2,ScaleFree,8,0.050000,Dijkstra,30,22,8,0,73.333333,1.454545,0.925207,0.898238,0.833408,0.549844,0.983403,34.181716,0,0.000000
2,ScaleFree,8,0.050000,QCAST,30,24,6,0,80.000000,1.583333,0.909932,0.856482,0.788512,0.229048,0.983403,39.240252,2,0.083333
3,ScaleFree,8,0.050000,Dijkstra,30,30,0,0,100.000000,1.666667,0.888342,0.816180,0.730192,0.278169,0.993509,44.567928,0,0.000000
3,ScaleFree,8,0.050000,QCAST,30,30,0,0,100.000000,1.800000,0.895349,0.780484,0.704369,0.278169,0.993509,47.982865,0,0.000000
4,ScaleFree,8,0.050000,Dijkstra,30,30,0,0,100.000000,1.633333,0.871320,0.863858,0.756810,0.306844,0.985296,37.746349,0,0.000000
4,ScaleFree,8,0.050000,QCAST,30,30,0,0,100.000000,1.633333,0.864683,0.875518,0.760743,0.306844,0.985296,36.076548,0,0.000000
5,ScaleFree,8,0.050000,Dijkstra,30,24,6,0,80.000000,1.500000,0.914112,0.863501,0.791827,0.467075,0.988304,44.242551,0,0.000000
5,ScaleFree,8,0.050000,QCAST,30,27,3,0,90.000000,1.666667,0.901280,0.811640,0.736737,0.283759,0.988304,46.853797,5,0.185185
6,ScaleFree,8,0.050000,Dijkstra,30,27,3,0,90.000000,1.851852,0.888882,0.771301,0.695391,0.286931,0.990612,51.731516,0,0.000000
6,ScaleFree,8,0.050000,QCAST,30,30,0,0,100.000000,1.933333,0.881610,0.740366,0.662966,0.277159,0.990612,56.565749,1,0.033333
7,ScaleFree,8,0.050000,Dijkstra,30,29,1,0,96.666667,1.620690,0.890781,0.799201,0.716493,0.240836,0.978550,52.904455,0,0.000000
7,ScaleFree,8,0.050000,QCAST,30,29,1,0,96.666667,1.689655,0.847139,0.791438,0.683971,0.168877,0.978550,57.379054,0,0.000000
8,ScaleFree,8,0.050000,Dijkstra,30,22,8,0,73.333333,1.545455,0.866485,0.918878,0.798434,0.650304,0.976562,28.414500,0,0.000000
8,ScaleFree,8,0.050000,QCAST,30,26,4,0,86.666667,1.846154,0.837924,0.859884,0.732339,0.244062,0.976562,30.904498,5,0.192308
9,ScaleFree,8,0.050000,Dijkstra,30,30,0,0,100.000000,1.733333,0.904289,0.862482,0.783769,0.322366,0.993391,32.169647,0,0.000000
9,ScaleFree,8,0.050000,QCAST,30,30,0,0,100.000000,1.833333,0.911882,0.838348,0.770138,0.283169,0.993391,35.597804,0,0.000000
10,ScaleFree,8,0.050000,Dijkstra,30,23,7,0,76.666667,1.608696,0.919210,0.864611,0.797876,0.361559,0.991446,41.531245,0,0.000000
10,ScaleFree,8,0.050000,QCAST,30,29,1,0,96.666667,1.931034,0.888790,0.769891,0.697505,0.128116,0.991446,50.563274,6,0.206897
11,ScaleFree,8,0.050000,Dijkstra,30,30,0,0,100.000000,1.733333,0.887717,0.786151,0.703589,0.267584,0.993592,56.359999,0,0.000000
11,ScaleFree,8,0.050000,QCAST,30,30,0,0,100.000000,1.733333,0.875121,0.791823,0.701025,0.249090,0.993592,54.646275,0,0.000000
12,ScaleFree,8,0.050000,Dijkstra,30,25,5,0,83.333333,1.520000,0.910796,0.902006,0.823084,0.530217,0.980367,38.715666,0,0.000000
12,ScaleFree,8,0.050000,QCAST,30,28,2,0,93.333333,1.678571,0.880210,0.864606,0.770470,0.361106,0.980367,43.175265,3,0.107143
